"","country","games","iso_a3","population","medal_type","medal_winner","medal_total","medals_1","medals_2","medals_3","medals_4","medals_5","medals_1.team","rank_total","p_mean","p_median","p_credlow","p_credhigh","rank_mean","rank_median","rank_credlow","rank_credhigh","rank_mean_beta","rank_median_beta","observed_mpm","estimate_mpm","estimate_mpm_credlow","estimate_mpm_credhigh","rank_pc"
"49","Kuwait","paris-2024","KWT",4935000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,49,5.25692500156926e-08,1.66662025213454e-08,1.19051404471796e-09,3.13682990897376e-07,NA,NA,NA,NA,NA,NA,0,0.0166662025213454,0.00119051404471796,0.313682990897376,139
"50","Laos","paris-2024","LAO",7770000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,50,3.65403275770349e-08,1.32467291988465e-08,1.16107761198087e-09,2.10961930254806e-07,NA,NA,NA,NA,NA,NA,0,0.0132467291988465,0.00116107761198087,0.210961930254806,140
"51","Latvia","paris-2024","LVA",1872000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,51,1.0466625993631e-07,2.85184170298104e-08,1.21012366204552e-09,6.62073990760073e-07,NA,NA,NA,NA,NA,NA,0,0.0285184170298104,0.00121012366204552,0.662073990760073,141
"52","Lebanon","paris-2024","LBN",5806000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,52,4.49680149094867e-08,1.50325059565029e-08,1.16908734518756e-09,2.64556079618481e-07,NA,NA,NA,NA,NA,NA,0,0.0150325059565029,0.00116908734518756,0.264556079618481,142
"53","Lesotho","paris-2024","LSO",2337000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,53,8.69952403054906e-08,2.57781973137733e-08,1.21408825176577e-09,5.2344535023108e-07,NA,NA,NA,NA,NA,NA,0,0.0257781973137733,0.00121408825176577,0.52344535023108,143
"54","Liberia","paris-2024","LBR",5613000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,54,4.66235777361284e-08,1.58819712159597e-08,1.16890578960821e-09,2.7094209226053e-07,NA,NA,NA,NA,NA,NA,0,0.0158819712159597,0.00116890578960821,0.27094209226053,144
"55","Libya","paris-2024","LBY",7381000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,55,3.76239144101528e-08,1.30069167905345e-08,1.14453095150727e-09,2.24327444074726e-07,NA,NA,NA,NA,NA,NA,0,0.0130069167905345,0.00114453095150727,0.224327444074726,145
"56","Liechtenstein","paris-2024","LIE",40000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,56,3.05542757328528e-07,6.18544963853101e-08,1.29876038519324e-09,2.09363591116876e-06,NA,NA,NA,NA,NA,NA,0,0.0618544963853101,0.00129876038519324,2.09363591116876,146
"57","Luxembourg","paris-2024","LUX",673000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,57,1.69749061380264e-07,3.98619184748456e-08,1.2617352408852e-09,1.14134785609601e-06,NA,NA,NA,NA,NA,NA,0,0.0398619184748456,0.0012617352408852,1.14134785609601,147
"58","Madagascar","paris-2024","MDG",31965000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,58,1.25545895204417e-08,5.92258131629413e-09,1.10996653249291e-09,6.38092526750086e-08,NA,NA,NA,NA,NA,NA,0,0.00592258131629413,0.00110996653249291,0.0638092526750086,148
